,MODE,SYMBOL,TIME-OPEN,TIME-CLOSE,RESULT
0,short,THETAUSDT,29:13:22:38,29:13:23:38,False
1,short,KSMUSDT,29:13:22:46,29:13:23:46,False
2,short,SOLUSDC,29:13:22:47,29:13:23:47,False
3,short,TWTUSDT,29:13:22:58,29:13:23:58,False
4,long,ICPUSDT,29:13:22:59,29:13:23:59,True
5,long,C98USDT,29:13:23:25,29:13:24:25,True
6,long,BADGERUSDT,29:13:23:37,29:13:24:37,True
7,short,ONEUSDT,29:13:23:45,29:13:24:45,False
8,long,PERPUSDT,29:13:23:46,29:13:24:46,True
9,short,RADUSDT,29:13:24:10,29:13:25:10,False
10,long,IOTAUSDT,29:13:24:11,29:13:25:11,True
11,short,CELOUSDT,29:13:24:16,29:13:25:16,False
12,long,DASHUSDT,29:13:24:17,29:13:25:17,True
13,short,OCEANUSDT,29:13:24:22,29:13:25:22,False
14,long,UMAUSDT,29:13:24:37,29:13:25:37,True
15,long,AVAXUSDT,29:13:24:50,29:13:25:50,True
16,long,RDNTUSDT,29:13:24:52,29:13:25:52,True
17,short,ZENUSDT,29:13:25:19,29:13:26:19,False
18,long,ARPAUSDT,29:13:25:22,29:13:26:22,True
19,long,MAGICUSDT,29:13:25:22,29:13:26:22,True
20,long,LINAUSDT,29:13:25:25,29:13:26:26,True
21,long,BLURUSDT,29:13:25:40,29:13:26:40,True
22,long,1INCHUSDT,29:13:25:41,29:13:26:41,True
23,long,NKNUSDT,29:13:25:48,29:13:26:48,True
24,long,QTUMUSDT,29:13:25:53,29:13:26:53,True
25,long,AXSUSDT,29:13:25:55,29:13:26:55,True
26,long,MINAUSDT,29:13:25:58,29:13:26:58,True
27,short,SOLUSDT,29:13:26:5,29:13:27:5,False
28,long,FLMUSDT,29:13:26:6,29:13:27:6,True
29,long,GRTUSDT,29:13:26:12,29:13:27:12,True
30,long,OMGUSDT,29:13:26:15,29:13:27:15,True
31,long,KAVAUSDT,29:13:26:19,29:13:27:19,True
32,long,JTOUSDT,29:13:26:26,29:13:27:27,True
33,long,SOLUSDC,29:13:26:30,29:13:27:30,True
34,long,TRUUSDT,29:13:26:33,29:13:27:33,True
35,long,ETCUSDT,29:13:26:35,29:13:27:35,True
36,long,ORDIUSDT,29:13:26:36,29:13:27:36,True
37,long,MOVRUSDT,29:13:26:44,29:13:27:44,True
38,long,DENTUSDT,29:13:26:45,29:13:27:45,True
39,long,STRAXUSDT,29:13:26:46,29:13:27:46,True
40,long,CVXUSDT,29:13:26:48,29:13:27:48,True
41,long,DARUSDT,29:13:26:49,29:13:27:49,True
42,long,TLMUSDT,29:13:26:49,29:13:27:49,True
43,long,ILVUSDT,29:13:26:51,29:13:27:51,True
44,long,ZECUSDT,29:13:26:56,29:13:27:56,True
45,long,BNXUSDT,29:13:27:3,29:13:28:3,True
46,long,ANKRUSDT,29:13:27:5,29:13:28:5,True
47,long,COTIUSDT,29:13:27:7,29:13:28:7,True
48,long,AGIXUSDT,29:13:27:9,29:13:28:9,True
49,long,PHBUSDT,29:13:27:11,29:13:28:11,True
50,long,NEOUSDT,29:13:27:11,29:13:28:11,True
51,long,SXPUSDT,29:13:27:13,29:13:28:13,True
52,long,BELUSDT,29:13:27:14,29:13:28:14,True
53,long,BALUSDT,29:13:27:16,29:13:28:16,True
54,long,PEOPLEUSDT,29:13:27:23,29:13:28:23,True
55,long,HIGHUSDT,29:13:27:25,29:13:28:25,True
56,long,AGLDUSDT,29:13:27:25,29:13:28:25,True
57,long,FTMUSDT,29:13:27:29,29:13:28:29,True
58,long,IDUSDT,29:13:27:32,29:13:28:32,True
59,long,IOSTUSDT,29:13:27:34,29:13:28:34,True
60,long,SFPUSDT,29:13:27:34,29:13:28:34,True
61,long,FRONTUSDT,29:13:27:35,29:13:28:35,True
62,long,SNXUSDT,29:13:27:39,29:13:28:39,True
63,long,XLMUSDT,29:13:27:44,29:13:28:44,True
64,long,CELRUSDT,29:13:27:53,29:13:28:53,True
65,long,ZILUSDT,29:13:27:56,29:13:28:56,True
66,long,STXUSDT,29:13:27:56,29:13:28:56,True
67,long,FETUSDT,29:13:28:0,29:13:29:0,True
68,long,AMBUSDT,29:13:28:3,29:13:29:3,True
69,long,ALGOUSDT,29:13:28:3,29:13:29:3,True
70,long,ARUSDT,29:13:28:8,29:13:29:8,True
71,long,FLOWUSDT,29:13:28:27,29:13:29:27,True
72,long,TWTUSDT,29:13:28:30,29:13:29:30,True
73,long,SSVUSDT,29:13:28:46,29:13:29:46,True
74,long,POLYXUSDT,29:13:28:55,29:13:29:55,True
75,long,NEARUSDT,29:13:29:8,30:13:30:8,True
76,long,STGUSDT,29:13:29:9,30:13:30:9,True
77,long,1000SATSUSDT,29:13:29:14,30:13:30:14,True
78,long,ACHUSDT,29:13:29:18,30:13:30:18,True
79,long,GTCUSDT,29:13:29:20,30:13:30:20,True
80,long,RLCUSDT,29:13:29:21,30:13:30:21,True
81,long,BNBUSDC,29:13:29:35,30:13:30:35,True
82,long,RADUSDT,29:13:29:39,30:13:30:39,True
83,long,SCUSDT,29:13:29:41,30:13:30:41,True
84,long,BICOUSDT,29:13:29:41,30:13:30:41,True
85,long,MKRUSDT,29:13:29:47,30:13:30:47,True
86,long,HOOKUSDT,29:13:29:55,30:13:30:55,True
87,long,HBARUSDT,29:13:29:57,30:13:30:57,True
88,long,OGNUSDT,29:13:30:1,29:13:31:1,True
89,long,ATAUSDT,29:13:30:2,29:13:31:2,True
90,long,ENJUSDT,29:13:30:3,29:13:31:3,True
91,long,CHZUSDT,29:13:30:10,29:13:31:10,True
92,long,AUDIOUSDT,29:13:30:16,29:13:31:16,True
93,long,LQTYUSDT,29:13:30:32,29:13:31:32,True
94,long,CRVUSDT,29:13:30:36,29:13:31:36,True
95,long,MAVUSDT,29:13:30:42,29:13:31:42,True
96,long,SPELLUSDT,29:13:30:44,29:13:31:44,True
97,long,CKBUSDT,29:13:30:48,29:13:31:48,True
98,long,BNTUSDT,29:13:30:58,29:13:31:58,True
99,long,YFIUSDT,29:13:30:58,29:13:31:58,True
100,long,PENDLEUSDT,29:13:30:59,29:13:31:59,True
101,long,SUSHIUSDT,29:13:31:3,29:13:32:3,True
102,long,NFPUSDT,29:13:31:10,29:13:32:10,True
103,long,BTCUSDC,29:13:31:29,29:13:32:29,True
