,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT,CONFIRMATION
0,long,OPUSDT,30:12:19:40,3.15400000,30:13:19:40,3.15100000,1,False long miss
1,long,REEFUSDT,30:12:19:42,0.00149000,30:13:19:42,0.00149000,0,False 0
2,short,HFTUSDT,30:12:19:47,0.32380000,30:13:19:47,0.32420000,2,False short miss
3,long,DGBUSDT,30:12:19:49,0.00788000,30:13:19:49,0.00789000,2,True long
4,long,ZENUSDT,30:12:19:54,8.13000000,30:13:19:54,8.12000000,1,False long miss
5,long,LEVERUSDT,30:12:20:15,0.00138600,30:13:20:15,0.00137700,1,False long miss
6,long,COMPUSDT,30:12:20:27,55.58000000,30:13:20:27,55.88000000,2,True long
7,long,ARPAUSDT,30:12:20:45,0.06347000,30:13:20:45,0.06363000,2,True long
8,long,BNXUSDT,30:12:20:54,0.28930000,30:13:20:54,0.29030000,2,True long
9,long,SNTUSDT,30:12:21:8,0.04021000,30:13:21:8,0.04013000,1,False long miss
10,long,FTMUSDT,30:12:21:10,0.38520000,30:13:21:10,0.38650000,2,True long
11,long,ALICEUSDT,30:12:21:15,1.15200000,30:13:21:15,1.15200000,0,False 0
12,long,YFIUSDT,30:12:21:24,7349.00000000,30:13:21:24,7364.00000000,2,True long
13,long,ROSEUSDT,30:12:21:34,0.10995000,30:13:21:34,0.10979000,1,False long miss
14,long,TRBUSDT,30:12:22:2,117.02000000,30:13:22:2,117.29000000,2,True long
15,long,BNTUSDT,30:12:22:13,0.71530000,30:13:22:13,0.71280000,1,False long miss
16,long,CRVUSDT,30:12:22:13,0.48690000,30:13:22:13,0.48490000,1,False long miss
17,long,NFPUSDT,30:12:22:14,0.59173000,30:13:22:14,0.59971000,2,True long
18,long,CVXUSDT,30:12:22:20,2.92300000,30:13:22:20,2.92600000,2,True long
19,long,AXSUSDT,30:12:22:23,7.48000000,30:13:22:23,7.48000000,0,False 0
20,long,ZECUSDT,30:12:22:24,23.10000000,30:13:22:24,23.01000000,1,False long miss
21,long,CTKUSDT,30:12:22:35,0.65240000,30:13:22:35,0.65440000,2,True long
22,long,BADGERUSDT,30:12:22:36,3.39400000,30:13:22:36,3.37400000,1,False long miss
23,long,GALAUSDT,30:12:22:51,0.02338000,30:13:22:51,0.02330000,1,False long miss
24,long,KEYUSDT,30:12:22:53,0.00527700,30:13:22:53,0.00533300,2,True long
25,long,STGUSDT,30:12:23:2,0.53770000,30:13:23:2,0.53850000,2,True long
26,long,IOSTUSDT,30:12:23:3,0.00875000,30:13:23:3,0.00874000,1,False long miss
27,long,LITUSDT,30:12:23:8,0.84000000,30:13:23:8,0.84000000,0,False 0
28,long,GASUSDT,30:12:23:16,5.86700000,30:13:23:16,5.85100000,1,False long miss
29,long,AGIXUSDT,30:12:23:35,0.27868000,30:13:23:35,0.27779000,1,False long miss
30,long,RIFUSDT,30:12:23:49,0.13850000,30:13:23:49,0.13730000,1,False long miss
31,long,MBLUSDT,30:12:23:54,0.00423600,30:13:23:54,0.00422300,1,False long miss
32,long,IOTXUSDT,30:12:24:23,0.04395000,30:13:24:23,0.04355000,1,False long miss
33,long,SOLUSDT,30:12:24:26,103.63000000,30:13:24:26,103.28000000,1,False long miss
34,long,DARUSDT,30:12:25:8,0.12068000,30:13:25:8,0.12090000,2,True long
35,long,MTLUSDT,30:12:25:10,1.49000000,30:13:25:10,1.48700000,1,False long miss
36,long,SXPUSDT,30:12:25:28,0.33290000,30:13:25:28,0.33240000,1,False long miss
37,long,RNDRUSDT,30:12:25:35,4.42700000,30:13:25:35,4.46800000,2,True long
38,long,TIAUSDT,30:12:25:58,18.05200000,30:13:25:58,18.16050000,2,True long
39,long,BNBUSDT,30:12:26:6,311.20000000,30:13:26:6,311.10000000,1,False long miss
40,long,SOLUSDC,30:12:26:13,103.44000000,30:13:26:13,103.22000000,1,False long miss
41,long,AUDIOUSDT,30:12:26:20,0.19110000,30:13:26:20,0.19040000,1,False long miss
42,long,BATUSDT,30:12:26:35,0.22880000,30:13:26:35,0.22900000,2,True long
43,long,WAXPUSDT,30:12:26:37,0.05858000,30:13:26:37,0.05852000,1,False long miss
44,long,FRONTUSDT,30:12:26:39,0.47050000,30:13:26:39,0.47150000,2,True long
45,long,WLDUSDT,30:12:26:43,2.38000000,30:13:26:43,2.36100000,1,False long miss
46,long,RUNEUSDT,30:12:26:53,4.67000000,30:13:26:53,4.70900000,2,True long
47,long,SLPUSDT,30:12:27:11,0.00301000,30:13:27:11,0.00299900,1,False long miss
48,long,SPELLUSDT,30:12:27:23,0.00052820,30:13:27:23,0.00052910,2,True long
49,long,DASHUSDT,30:12:27:25,28.11000000,30:13:27:25,28.27000000,2,True long
50,long,ONGUSDT,30:12:27:51,0.31710000,30:13:27:51,0.31770000,2,True long
51,long,STPTUSDT,30:12:27:57,0.05289000,30:13:27:57,0.05268000,1,False long miss
52,short,UMAUSDT,30:12:29:15,4.99600000,30:13:29:15,4.99100000,1,True short
53,long,AVAXUSDT,30:12:29:20,36.56000000,30:13:29:20,36.62000000,2,True long
54,long,COMBOUSDT,30:12:29:40,0.68900000,30:13:29:40,0.68700000,1,False long miss
55,long,CYBERUSDT,30:12:29:42,7.25500000,30:13:29:42,7.19300000,1,False long miss
56,long,JASMYUSDT,30:12:29:45,0.00519700,30:13:29:45,0.00519000,1,False long miss
57,long,NTRNUSDT,30:12:29:53,1.16820000,30:13:29:53,1.16110000,1,False long miss
58,long,THETAUSDT,30:12:30:26,1.04200000,30:13:30:26,1.03800000,1,False long miss
59,long,ILVUSDT,30:12:31:0,77.93000000,30:13:31:0,77.93000000,0,False 0
60,long,ENJUSDT,30:12:31:17,0.29600000,30:13:31:17,0.29530000,1,False long miss
61,long,ACEUSDT,30:12:31:18,9.70730000,30:13:31:18,9.72550000,2,True long
62,long,NEARUSDT,30:12:33:32,3.03000000,30:13:33:32,3.00800000,1,False long miss
63,long,NEOUSDT,30:12:33:58,11.25000000,30:13:33:58,11.23000000,1,False long miss
64,long,GRTUSDT,30:12:35:2,0.16340000,30:13:35:2,0.16240000,1,False long miss
65,long,ATOMUSDT,30:12:35:15,9.69100000,30:13:35:15,9.64400000,1,False long miss
66,long,LRCUSDT,30:12:35:48,0.24150000,30:13:35:48,0.24080000,1,False long miss
67,long,GLMRUSDT,30:12:36:33,0.38390000,30:13:36:33,0.38280000,1,False long miss
68,long,ZECUSDT,30:12:45:7,23.04000000,30:13:45:7,23.03000000,1,False long miss
69,long,PHBUSDT,30:12:45:26,0.91480000,30:13:45:26,0.91870000,2,True long
70,long,NEOUSDT,30:12:45:26,11.26000000,30:13:45:26,11.21000000,1,False long miss
71,long,SFPUSDT,30:12:45:52,0.69090000,30:13:45:52,0.68910000,1,False long miss
72,long,GALAUSDT,30:12:46:28,0.02331000,30:13:46:28,0.02326000,1,False long miss
73,long,BLURUSDT,30:12:47:48,0.68020000,30:13:47:48,0.67910000,1,False long miss
74,long,STEEMUSDT,30:12:49:52,0.22060000,30:13:49:52,0.22050000,1,False long miss
75,long,NFPUSDT,30:12:52:4,0.59365000,30:13:52:4,0.60130000,2,True long
76,long,RSRUSDT,30:12:53:56,0.00234600,30:13:53:56,0.00235300,2,True long
77,long,CTKUSDT,30:12:54:8,0.65010000,30:13:54:8,0.65140000,2,True long
78,long,MBLUSDT,30:12:54:56,0.00422200,30:13:54:56,0.00422600,2,True long
79,long,LQTYUSDT,30:12:57:38,1.29400000,30:13:57:38,1.29300000,1,False long miss
80,long,AVAXUSDT,30:13:3:31,36.43000000,30:14:3:31,36.73000000,2,True long
81,long,BONDUSDT,30:13:5:30,3.24800000,30:14:5:30,3.23300000,1,False long miss
82,long,ACHUSDT,30:13:6:28,0.01961000,30:14:6:28,0.01985000,2,True long
83,long,LOOMUSDT,30:13:6:59,0.08881000,30:14:6:59,0.08870000,1,False long miss
84,long,GRTUSDT,30:13:7:2,0.16280000,30:14:7:2,0.16200000,1,False long miss
85,long,DOTUSDT,30:13:7:22,7.04300000,30:14:7:22,7.00400000,1,False long miss
86,long,STRAXUSDT,30:13:7:35,0.91300000,30:14:7:35,0.91200000,1,False long miss
87,long,USTCUSDT,30:13:7:41,0.02639472,30:14:7:41,0.02636369,1,False long miss
88,long,ONEUSDT,30:13:8:25,0.01515000,30:14:8:25,0.01506000,1,False long miss
89,long,HBARUSDT,30:13:9:15,0.07430000,30:14:9:15,0.07420000,1,False long miss
90,long,TRUUSDT,30:13:9:30,0.04849000,30:14:9:30,0.04876000,2,True long
91,long,JOEUSDT,30:13:10:9,0.50090000,30:14:10:9,0.49910000,1,False long miss
92,long,NEARUSDT,30:13:10:23,3.00700000,30:14:10:23,3.02500000,2,True long
93,long,MANAUSDT,30:13:14:29,0.45620000,30:14:14:29,0.45430000,1,False long miss
94,long,HIGHUSDT,30:13:14:41,1.53700000,30:14:14:41,1.53100000,1,False long miss
95,long,HOTUSDT,30:13:15:14,0.00196000,30:14:15:14,0.00195600,1,False long miss
96,long,AAVEUSDT,30:13:17:51,93.18000000,30:14:17:51,93.09000000,1,False long miss
97,long,KSMUSDT,30:13:17:55,39.63000000,30:14:17:55,39.75000000,2,True long
98,long,IDUSDT,30:13:19:10,0.29020000,30:14:19:10,0.29040000,2,True long
99,long,ALGOUSDT,30:13:19:45,0.16790000,30:14:19:45,0.16800000,2,True long
100,long,NMRUSDT,30:13:19:52,20.47000000,30:14:19:52,20.39000000,1,False long miss
101,long,LTCUSDT,30:13:20:31,68.13000000,30:14:20:31,68.09000000,1,False long miss
102,long,MAVUSDT,30:13:20:40,0.60010000,30:14:20:40,0.61030000,2,True long
103,long,ALPHAUSDT,30:13:20:43,0.09810000,30:14:20:43,0.09830000,2,True long
104,long,ACEUSDT,30:13:21:32,9.74170000,30:14:21:32,9.61600000,1,False long miss
105,long,AMBUSDT,30:13:21:50,0.00780000,30:14:21:50,0.00777000,1,False long miss
106,long,LINKUSDT,30:13:23:16,15.11300000,30:14:23:16,15.06400000,1,False long miss
107,long,GMTUSDT,30:13:24:3,0.27000000,30:14:24:3,0.26950000,1,False long miss
108,long,OCEANUSDT,30:13:26:3,0.44160000,30:14:26:3,0.44300000,2,True long
109,long,IMXUSDT,30:13:28:6,2.02500000,30:14:28:6,2.02250000,1,False long miss
